SKU_number	MarketingType	ReleaseYear	PurchaseAmt
3598400	New	2013	22.46
1724572	New	2015	33.22
2045227	Original	2014	17.3
1517773	Original	2015	89.98
538526	New	2013	27.48
902166	Original	2014	51.03
1455310	New	2014	15.00
1840942	Original	2014	51.58
664689	Original	2013	23.6
649591	Original	2013	20.88
690084	Original	2013	15.53
865494	New	2014	8.75
900571	Original	2015	26.59
1465878	New	2014	38.13
1946666	Original	2014	46.35
905463	Original	2014	37.45
1702281	Original	2014	28.01
609990	Original	2014	37.72
541803	Original	2013	34.86
533203	Original	2013	19.03
1498055	Original	2014	5.99
3587643	Original	2014	4.87
866301	Original	2014	41.31
663354	Original	2013	25.13
1966606	New	2014	25.04
2043728	Original	2013	6.4
649566	New	2013	27.07
2153959	Original	2013	21.13
683035	New	2013	11.18
881204	New	2014	104.47
900802	Original	2013	4
646958	Original	2013	37.94
538512	New	2013	26.16
865236	New	2014	6.69
876780	New	2014	67.68
870850	Original	2013	4
633747	Original	2013	34.41
1946293	New	2014	43.82
1565194	New	2014	7.39
900925	New	2014	12.66
1476669	New	2013	7.25
900449	New	2014	36.09
887042	New	2014	0.00
1535892	New	2015	0.00
870634	New	2014	54.35
664607	New	2013	8.95
913882	Original	2014	0
861833	New	2013	23.06
866321	New	2014	27.44
2146904	New	2014	20.71
1946818	New	2014	25.96
1441504	New	2014	34.93
864417	New	2013	29.39
539852	Original	2013	12.12
1555414	New	2014	33.60
1479802	Original	2014	14.51
2023113	New	2014	0.00
3803936	Original	2016	40.49
655156	New	2013	34.19
2021547	New	2013	24.49
861154	New	2013	26.23
1984184	Original	2013	29.96
2970241	Original	2015	31.9
1721048	New	2013	28.17
900419	Original	2014	13.08
3800696	Original	2014	19.73
1943662	New	2016	55.24
861845	Original	2013	44.14
687245	Original	2013	8.67
2081987	New	2013	26.51
1696730	Original	2013	28.68
894865	Original	2014	11.15
652363	New	2013	0.00
657847	Original	2013	12.17
658058	Original	2013	22.32
644386	Original	2013	15.41
2100467	Original	2013	39.95
1455234	Original	2014	22.44
1768597	New	2014	35.75
1517099	Original	2015	0
2165918	Original	2013	15.99
865547	New	2013	15.92
1780423	New	2014	0.00
1565297	New	2014	20.70
545744	Original	2013	28.93
616611	New	2013	43.40
877106	Original	2014	53.89
2094383	New	2013	22.82
618374	New	2013	23.28
2048064	Original	2013	16.48
2009981	New	2014	33.38
664119	Original	2014	85.77
3831778	New	2013	6.54
1571098	New	2014	36.51
912579	Original	2014	73.99
3473256	Original	2016	45.45
611701	New	2013	25.84
544475	New	2013	34.81
1660676	Original	2013	15.98
1499012	Original	2014	24.8
889112	New	2014	20.23
874214	New	2014	34.53
868242	Original	2014	43.99
638243	New	2013	27.50
909127	Original	2014	14.09
1780509	Original	2014	37.49
1969879	New	2014	14.83
2109052	New	2014	17.83
2101001	New	2014	17.64
921437	New	2014	42.73
2105003	Original	2013	28.81
867146	Original	2014	34.97
1453002	New	2014	0.00
624656	New	2013	20.35
612729	New	2013	0.00
3775884	Original	2016	28.9
3567435	New	2013	4.19
1649448	Original	2014	55.56
864431	Original	2013	22.41
702516	Original	2013	4
862122	New	2014	56.13
1688230	Original	2014	32.7
1932495	New	2014	25.95
1532315	Original	2014	8.94
544657	New	2013	14.46
890806	Original	2013	39.99
612322	Original	2013	37.09
673078	Original	2013	6.08
1994018	Original	2013	24.2
3740347	New	2013	5.42
1532321	Original	2014	5.9
2030449	New	2013	21.38
2083188	New	2014	4.49
919119	New	2013	90.53
892942	New	2015	23.41
868216	New	2014	23.58
664157	Original	2013	24.05
1816445	Original	2013	15.79
544077	New	2013	10.01
2020936	New	2014	18.19
526698	Original	2013	18.63
532343	Original	2013	19.94
612792	New	2013	23.98
858448	Original	2014	39.13
540879	Original	2013	30.01
637555	Original	2013	39.6
1639753	New	2013	11.54
2058140	New	2013	24.09
612715	Original	2013	45.13
1715991	New	2014	23.44
1557409	Original	2014	18.49
1531976	Original	2014	13.79
867182	New	2014	36.61
1778087	Original	2014	19.97
861176	Original	2013	17.74
898631	New	2014	22.11
538882	Original	2013	55.49
2170909	New	2013	34.27
612601	New	2013	49.20
530593	Original	2013	35.24
2105401	New	2014	4.39
1478723	Original	2014	11.59
688526	New	2013	15.97
632043	New	2013	49.57
3753746	Original	2013	27.57
1535735	New	2014	27.85
867612	Original	2014	26.34
543502	Original	2013	64.17
658097	Original	2013	6
544310	New	2013	31.95
861192	Original	2013	5.3
2108832	New	2013	15.26
2105393	New	2014	23.53
649648	Original	2013	22.8
2103783	Original	2014	10.39
2100776	Original	2014	17.69
1480584	Original	2013	0
916533	Original	2014	29.59
3960086	Original	2016	30.08
2094392	Original	2013	4.75
658685	New	2013	38.40
1607168	Original	2014	0
1455478	Original	2014	12.66
1779996	New	2014	38.28
3485472	Original	2014	21.85
1523885	Original	2013	4
867178	New	2014	40.17
747766	New	2014	34.06
610378	New	2013	18.07
3809749	New	2014	18.13
2109137	New	2014	7.46
595599	New	2013	6.03
867632	Original	2014	46.66
649640	Original	2013	20.46
658696	New	2014	109.63
867661	New	2014	40.19
676595	New	2013	14.74
908910	Original	2014	32.53
1994573	New	2014	35.43
1679845	Original	2014	16.73
544413	Original	2013	79.98
3805991	Original	2014	10.88
630525	Original	2013	46.19
2151818	Original	2014	35.97
3484034	New	2016	22.38
867409	Original	2014	4
900415	New	2013	12.04
1932539	New	2013	25.39
1710804	Original	2014	24.91
723041	Original	2013	28.76
612566	New	2014	34.53
919940	New	2014	115.22
2205718	Original	2013	18.22
2079635	New	2013	19.94
869408	Original	2014	40.68
868556	New	2016	49.52
1517030	Original	2013	0
905243	New	2014	29.25
867316	Original	2014	32.33
664154	New	2013	41.96
1729503	Original	2013	30.24
664599	Original	2014	40.96
3513268	Original	2016	24.83
540725	Original	2013	13.17
3486055	New	2014	37.80
1571882	Original	2014	23.09
536390	Original	2013	32.36
2111682	Original	2013	26.97
2085904	Original	2013	32.38
1835878	Original	2013	7.38
2285226	New	2014	0.00
1780884	New	2014	0.00
539530	New	2013	29.66
1942340	New	2014	19.40
610013	New	2013	27.14
538548	Original	2013	79.99
867257	Original	2014	40.46
867039	New	2013	6.12
544998	Original	2013	4
544069	Original	2013	36.99
656911	Original	2013	185.24
862294	Original	2014	101.91
2094898	Original	2014	20.96
1686639	New	2013	20.11
2167485	New	2013	28.13
1483414	New	2013	47.14
870606	Original	2014	4.62
862121	Original	2014	29.7
1437432	New	2014	9.18
622953	Original	2013	4.26
861167	Original	2013	4.49
1836029	New	2014	10.97
1517524	New	2014	35.40
1536474	Original	2014	14.38
3513323	New	2016	24.88
2096771	New	2013	14.16
3489328	Original	2016	8.13
612147	New	2014	121.13
663335	Original	2013	42.99
3739124	New	2016	24.79
861434	Original	2013	25.64
2109742	New	2013	15.47
1720840	Original	2013	17.32
663754	Original	2013	4.99
866647	Original	2014	34.06
1829048	New	2013	56.45
795582	Original	2013	9.38
1485970	Original	2014	43.26
1576662	New	2013	27.17
880485	New	2014	43.16
2084615	Original	2014	9.05
2100285	Original	2014	17.46
1697252	New	2014	6.71
896972	Original	2013	11.27
2027564	Original	2014	33.18
3951290	New	2015	0.00
870093	Original	2014	25.61
864742	New	2013	29.44
870929	Original	2013	0
1780925	Original	2014	13.96
676603	New	2013	4.47
641997	New	2013	15.56
643555	Original	2013	31.09
2104834	Original	2014	27.68
861192	New	2013	5.36
1437505	New	2013	9.18
657990	New	2013	21.87
866614	Original	2014	43.99
1952865	Original	2013	36.55
577176	New	2013	20.78
638027	Original	2013	53.47
2162482	New	2013	26.30
1767808	Original	2013	26.82
2156521	Original	2013	54.86
538810	New	2013	49.09
625603	New	2013	49.20
1918246	Original	2014	0
1814890	Original	2014	7.24
646928	Original	2013	25.21
1728626	Original	2014	48.97
2104814	New	2014	26.06
2042030	Original	2013	9.59
880756	Original	2014	89.98
2169096	Original	2014	14.21
2043791	New	2013	19.48
911017	New	2014	27.78
1677674	Original	2014	6.47
862398	Original	2014	69.86
1766586	Original	2014	47.24
639712	New	2013	9.25
534738	New	2013	44.49
862048	Original	2014	103.98
907989	Original	2013	4
3572169	New	2014	21.37
903691	Original	2013	25.1
612791	Original	2013	44.7
864763	Original	2014	37.11
637554	Original	2013	50
916901	New	2015	56.32
641050	Original	2014	53.97
2001294	New	2014	20.12
899415	Original	2014	29.19
637594	New	2013	9.47
809088	Original	2013	13.1
2019410	Original	2013	26.69
1932557	New	2014	25.15
625613	Original	2013	69.53
2151832	New	2014	22.06
1660717	Original	2014	16.79
3741595	Original	2013	17.78
913754	New	2014	24.24
649507	Original	2013	37.95
861123	Original	2013	0
3960026	New	2016	13.48
545900	Original	2013	30.92
3494233	Original	2014	20.82
655149	Original	2013	45.99
683597	Original	2013	13.28
1455077	Original	2015	98.45
626630	Original	2013	25.82
3577599	Original	2016	23.44
865251	New	2013	15.34
864570	New	2014	42.67
540374	Original	2013	7.19
642072	New	2013	33.64
908930	Original	2013	15.04
1476288	Original	2013	13.99
293973	Original	2014	4
3754734	Original	2016	37.34
867242	Original	2014	67.94
809170	New	2014	141.42
2010762	New	2014	29.54
3592870	New	2013	50.87
534917	Original	2013	7.98
2918915	New	2015	114.61
632023	Original	2013	26.03
2277530	Original	2013	0
3504490	New	2016	0.00
3695002	New	2013	4.53
1554385	Original	2014	0
206002	New	2014	35.22
658071	Original	2013	12.89
876508	New	2014	166.07
2024690	New	2013	10.66
611861	Original	2013	46.38
1724503	Original	2014	13.54
1619460	New	2013	27.28
612736	Original	2014	37.49
865462	New	2014	77.26
919110	New	2013	23.69
612632	New	2013	29.44
873834	New	2013	7.76
633733	Original	2013	121
908907	New	2014	30.24
2111663	Original	2014	29.97
660917	New	2013	26.52
3960460	New	2013	4.19
1697158	Original	2014	12.98
541796	Original	2013	28.35
865464	Original	2014	0
1496533	New	2013	5.95
657854	Original	2013	0
1768658	New	2014	39.80
1780521	New	2014	19.54
1758306	New	2014	17.68
2085931	New	2013	42.86
2166358	New	2013	23.75
1575443	Original	2013	15.56
878488	New	2013	4.41
1452719	New	2014	33.79
881719	Original	2013	49.74
644360	New	2013	47.77
3106694	Original	2014	10.23
1969846	New	2014	4.72
2175423	New	2014	34.32
3733698	New	2013	52.87
686590	Original	2013	14.83
1826935	Original	2014	47.59
914235	Original	2014	16.11
544305	Original	2013	38.53
1779643	New	2014	33.19
658046	New	2013	18.01
864570	New	2014	34.68
544367	New	2013	19.52
3788667	Original	2014	24.1
865559	Original	2013	17.08
2103074	New	2014	18.21
593912	Original	2013	16.18
2135609	New	2014	21.30
673131	Original	2014	0
903802	Original	2015	36.87
1840753	Original	2014	33.74
1497485	Original	2013	40.44
664109	Original	2014	15.56
652419	New	2013	30.24
1595510	New	2014	36.76
904057	Original	2014	27.48
1996695	Original	2014	39.41
544696	Original	2013	8.43
867956	New	2014	31.84
657954	Original	2013	35.26
1598489	New	2014	12.49
544311	New	2013	24.35
3959938	Original	2013	0
1978489	New	2013	24.41
538888	New	2013	17.08
1826344	Original	2014	54.95
541000	Original	2013	27.87
1523702	Original	2014	14.18
663705	New	2013	32.44
705504	New	2013	154.10
612501	Original	2014	36.87
905297	New	2013	165.18
3577575	New	2016	39.19
660853	New	2013	24.14
1768355	Original	2014	50.92
3504202	Original	2016	37.58
1441379	New	2013	15.45
2226246	New	2014	15.51
622957	Original	2013	28.99
867577	Original	2014	22.46
1877352	New	2014	8.68
896861	Original	2013	25.26
3107621	New	2013	14.95
865394	Original	2014	4.46
611958	Original	2014	33.06
1919201	New	2013	7.91
867945	Original	2014	43.99
1823066	New	2013	25.95
3624717	New	2016	49.53
1970416	New	2014	18.20
864643	Original	2014	25.68
881419	New	2013	47.07
684729	New	2013	16.58
1677914	New	2015	18.55
538882	New	2013	4.93
650665	Original	2013	17.89
682519	Original	2013	4
619970	Original	2013	33.23
624647	New	2013	10.86
1655929	Original	2013	11.56
1918219	New	2013	5.19
1779993	Original	2014	27.39
747754	Original	2014	29.36
2099529	Original	2014	10.97
1980858	New	2013	14.49
1710840	Original	2014	11.59
2168118	New	2013	0.00
1849740	Original	2014	14.37
1446571	Original	2014	0
659691	New	2013	19.84
900384	Original	2014	22.07
3960441	New	2013	10.91
612669	New	2014	38.30
1929333	Original	2014	17.76
1957969	New	2014	19.24
875758	Original	2014	32.97
2096789	New	2014	12.78
629119	Original	2013	36.99
894897	New	2014	52.10
2172819	New	2013	58.67
655099	New	2013	77.05
3003309	Original	2014	19.52
673716	New	2014	19.74
612698	New	2013	26.55
2918967	New	2015	0.00
541006	Original	2013	33.14
649566	New	2013	22.92
2046471	New	2014	14.43
3643639	Original	2015	43.28
908077	Original	2013	31.66
539532	Original	2013	4.98
639728	New	2013	27.24
635538	Original	2013	65.35
1557031	New	2014	62.83
2276142	Original	2013	0
895182	Original	2015	38.44
902372	Original	2014	0
805624	Original	2013	13.15
3624924	Original	2016	10.17
2027666	New	2013	30.63
3498919	Original	2016	26.85
1431236	Original	2013	13.95
867336	Original	2014	47.99
879098	Original	2013	22.16
673191	Original	2013	0
3634805	Original	2016	16.19
1518933	Original	2013	4.02
1933299	New	2013	35.64
2046752	Original	2014	8.91
116351	New	2013	34.21
3791955	New	2016	41.57
622948	New	2014	285.82
909083	New	2013	30.44
3804019	New	2013	4.15
624647	New	2013	4.48
663357	New	2013	43.18
1691928	New	2013	15.20
866663	Original	2014	31.7
664800	New	2013	61.20
1769090	New	2014	34.59
2032817	New	2013	4.74
610143	Original	2014	31.24
544567	New	2013	63.83
867690	Original	2013	50.97
658041	Original	2013	29.39
678128	New	2013	4.53
684701	New	2013	4.55
660737	New	2013	34.20
689086	New	2013	18.75
690793	New	2013	18.93
627816	Original	2013	39.65
1598512	New	2014	0.00
612199	New	2014	64.23
3830205	Original	2016	49.98
654047	New	2015	92.43
797026	New	2013	7.34
864613	New	2014	19.38
1876904	New	2014	13.70
1496909	Original	2013	31.35
2173916	New	2013	49.47
660777	Original	2013	26.55
538860	Original	2013	54.33
1908352	New	2014	7.69
545693	New	2013	23.21
1932504	New	2013	8.51
2100825	Original	2014	6.91
673870	New	2014	16.42
876129	Original	2014	50.87
612522	Original	2013	28.54
600336	Original	2013	105.41
673917	New	2013	15.95
644371	Original	2013	43.94
1498246	Original	2014	3.42
802754	Original	2013	0
3504118	New	2014	9.25
2101600	Original	2014	16.38
690797	Original	2013	23.36
867227	New	2014	32.10
1970246	New	2014	5.34
3756024	Original	2016	54.88
655097	New	2013	19.36
1778682	Original	2013	32.69
867781	New	2014	37.11
2090836	New	2014	34.32
870638	Original	2014	20.88
858494	Original	2014	5.04
3634176	Original	2015	0
910885	New	2013	21.38
547022	New	2013	27.57
875162	Original	2013	122.94
1718391	Original	2013	21.07
609910	New	2013	36.02
663745	Original	2013	18.39
690036	Original	2013	34.93
611481	New	2013	30.77
652280	New	2013	0.00
663580	New	2014	36.95
1451354	New	2014	0.00
614618	Original	2013	24.99
878645	Original	2014	102.48
2089181	Original	2013	24.64
898833	Original	2014	33.96
535390	Original	2013	9.69
1480620	Original	2014	38.61
1582361	New	2014	23.91
3926499	New	2015	0.00
1890851	Original	2013	24.17
646875	Original	2013	0
663821	Original	2014	12.03
544266	New	2013	11.77
1767858	New	2013	31.25
886614	New	2013	53.84
2109117	Original	2013	4
3821683	New	2014	17.21
1633939	Original	2014	9.26
2097775	New	2014	19.01
2103833	New	2014	4.10
2089048	Original	2014	14.16
690812	New	2013	25.87
1957956	New	2014	18.91
911711	New	2014	52.62
1956581	New	2014	59.14
1476237	Original	2013	12.87
610267	New	2013	10.82
914854	New	2013	110.06
2054481	Original	2014	23.46
544798	Original	2013	33.01
683580	Original	2013	27.14
1471191	Original	2013	24.09
2095780	New	2014	28.17
865255	New	2013	8.07
3561035	New	2016	21.12
1779831	Original	2014	0
2107225	Original	2014	42.78
2039552	New	2013	27.51
611515	Original	2014	0
913672	Original	2014	16.78
1936399	Original	2014	22.29
864511	Original	2014	15.47
538504	Original	2013	38.99
2109028	Original	2013	16.13
910816	New	2014	60.54
2048381	Original	2014	19.08
612635	Original	2013	11.23
3740179	New	2013	22.77
657945	Original	2013	28.81
914341	New	2014	43.10
2143299	New	2015	42.89
1508879	Original	2014	4
1778674	Original	2014	40.92
1778801	New	2013	23.52
550482	Original	2013	8.9
163029	New	2014	24.44
2273704	Original	2013	14.22
865463	Original	2014	35.21
2226233	New	2013	7.72
2170508	Original	2013	18.79
1549929	New	2013	0.00
867750	Original	2014	27.42
1655944	Original	2013	15.57
1766170	Original	2014	58.97
3514932	Original	2013	4
690077	New	2013	21.75
2109087	Original	2013	4.98
1476754	New	2014	0.00
916925	New	2013	22.43
538705	Original	2013	14.79
658001	New	2013	7.47
875852	New	2014	125.46
540146	Original	2013	6.64
644450	New	2013	20.93
1570000	Original	2014	14.04
1779698	Original	2014	12.49
1766440	New	2013	15.19
1626099	New	2014	18.45
866850	New	2014	4.40
612239	Original	2013	52.98
1613879	New	2014	30.75
1768478	Original	2013	36.18
672780	New	2013	0.00
2119469	Original	2013	58.8
2016515	Original	2014	64.53
689058	New	2013	21.67
1780687	Original	2014	18.35
658105	Original	2013	49.85
1452085	New	2013	37.53
892932	Original	2015	29.78
538533	Original	2013	48.99
1728624	New	2014	32.75
1731273	Original	2014	19.96
1918207	Original	2013	15.34
623320	Original	2013	28.9
655098	Original	2013	23.88
887016	Original	2014	15.84
1620403	New	2013	14.94
1908500	New	2014	15.90
2167249	New	2014	25.88
660810	Original	2013	54.72
680783	New	2013	4.00
652410	Original	2013	26.23
649473	Original	2013	14.26
2105759	Original	2014	19.36
1546319	Original	2013	18.33
916185	Original	2013	4.49
660729	New	2013	12.70
1517576	Original	2014	25.92
2131802	Original	2014	0
1517231	New	2014	43.41
867616	New	2014	39.85
1982498	New	2014	63.95
691495	New	2014	8.25
1536518	New	2014	9.39
626619	New	2013	30.30
2077872	Original	2014	7.73
653141	Original	2013	27.44
871561	New	2014	36.33
578356	Original	2013	12.41
663189	New	2013	13.13
880136	Original	2015	36.99
1909059	New	2014	34.61
1444781	Original	2014	13.61
1918470	New	2013	14.62
1684409	New	2014	12.68
868527	New	2014	59.06
649528	Original	2013	24.05
869779	Original	2014	28.92
866593	New	2014	31.53
2113035	New	2013	17.00
1488158	New	2014	35.46
867162	New	2014	36.87
677820	New	2014	5.52
1829144	Original	2014	11.76
916945	New	2014	114.72
1680230	New	2014	15.95
1724501	New	2013	72.00
3960087	Original	2016	25.31
2169579	Original	2015	0
1822677	New	2014	17.10
663216	New	2013	26.75
3803505	New	2013	13.13
2098090	Original	2014	38.99
862044	New	2014	38.60
2115734	New	2015	0.00
1833255	New	2014	21.73
1939092	Original	2014	24.85
642012	New	2013	32.70
544505	New	2013	43.88
873784	New	2014	44.89
646871	New	2013	13.58
654073	Original	2013	6.87
1768632	New	2014	28.69
1989666	Original	2014	25.48
3730424	Original	2016	19.12
543849	New	2013	24.04
867377	New	2014	31.57
2096739	New	2013	43.39
3960126	New	2013	15.24
2205775	Original	2013	23.97
530493	New	2014	32.83
865502	Original	2014	31.98
1924539	New	2014	15.55
2164849	Original	2014	25.09
3775878	New	2016	0.00
663166	New	2013	29.60
690444	New	2013	19.57
663400	Original	2013	27.84
2096706	New	2014	15.32
1946653	Original	2014	30.46
867098	Original	2014	8.27
873196	New	2014	114.17
879514	New	2014	105.80
861667	Original	2013	4
3729707	New	2016	60.14
1701623	New	2014	13.08
1870234	New	2014	25.70
2109093	Original	2013	15.17
660750	New	2013	39.60
1925705	Original	2013	29.35
1990878	New	2013	5.54
680418	Original	2013	16.33
1724499	Original	2013	24.05
1712793	New	2013	12.84
876919	Original	2013	108.67
2134761	Original	2014	20
622220	Original	2013	7.38
747773	Original	2013	5.86
1827062	Original	2014	12.71
655185	New	2013	4.72
867031	New	2014	4.37
1437646	Original	2014	13.68
538765	Original	2013	40.94
2149644	New	2013	37.91
1517246	Original	2014	35.12
1494570	Original	2014	20.03
1625953	New	2013	18.54
1437530	Original	2014	0
872372	Original	2014	0
2163941	New	2014	21.72
2022544	New	2014	10.27
3744080	New	2013	8.97
3800719	Original	2013	8.78
896861	New	2013	16.12
544478	Original	2013	10.93
864939	New	2014	45.75
2094926	Original	2015	27.69
2043541	Original	2014	11.48
2144449	Original	2014	9.31
1780953	New	2014	23.82
3682869	Original	2013	36.55
2243811	New	2014	16.11
866731	New	2014	7.59
912401	Original	2013	45.56
1701618	Original	2014	7.98
2105439	New	2014	26.85
657936	Original	2013	22.56
538907	New	2013	5.72
2972574	Original	2014	0
880427	Original	2013	4
2097654	Original	2013	13.11
867230	New	2014	28.05
2101613	New	2014	12.88
867331	New	2014	63.34
861451	Original	2013	43.98
2002478	New	2014	17.84
688524	New	2013	10.15
544356	New	2013	60.88
688484	New	2013	17.36
639624	Original	2013	19.99
1460570	Original	2013	8.22
1648798	New	2014	6.89
2003326	New	2014	44.09
659933	Original	2013	11.08
861366	New	2013	33.96
895260	Original	2015	40.12
3775878	New	2016	28.65
911550	Original	2013	23.99
1826384	New	2014	57.98
3801921	Original	2016	13.99
881702	New	2014	72.07
2109082	New	2014	7.64
910769	New	2014	12.85
1936184	New	2016	0.00
3618765	New	2013	22.95
657980	Original	2013	33
646964	Original	2013	4
1779332	New	2013	23.83
639753	Original	2013	7.26
1696751	Original	2014	17.09
1933351	Original	2013	0
924246	Original	2014	41.89
673831	Original	2013	14.18
3741590	New	2013	27.39
1981187	New	2014	44.27
2135320	Original	2013	71.68
1785609	New	2014	43.60
1924732	New	2014	0.00
1526779	New	2014	4.89
2093597	Original	2013	25.38
896860	New	2014	22.92
637562	Original	2013	24.12
635574	New	2013	54.55
919768	New	2014	10.04
3634978	New	2016	34.09
2043799	Original	2014	23.99
2231221	Original	2013	14.19
2048735	Original	2014	7.45
664320	New	2013	49.38
912459	Original	2014	31.11
898627	New	2013	31.34
640095	New	2013	6.33
545850	Original	2013	42.84
2022168	New	2014	64.70
916203	New	2013	10.40
1696955	Original	2014	47.85
660768	Original	2013	24.39
639713	New	2013	6.14
3829964	New	2016	41.45
2141554	Original	2013	12.1
2107160	New	2014	24.42
1930862	Original	2013	13.78
542709	New	2013	19.21
618725	New	2013	55.11
1716137	New	2014	21.69
2069338	New	2013	15.73
545841	Original	2013	17.53
539331	Original	2013	47.93
664552	Original	2013	38.14
914084	New	2013	7.95
1433324	Original	2014	10.47
865241	New	2014	25.69
542736	Original	2013	47.94
861385	Original	2013	43.99
1826875	New	2014	38.51
2098323	Original	2014	15.6
3742723	Original	2013	99.29
1517468	Original	2014	35.51
3473849	New	2016	87.15
1677167	Original	2014	7.52
1670794	New	2013	5.21
664735	Original	2013	29.82
861900	New	2014	9.33
1671818	New	2013	24.20
610447	Original	2013	19.84
1918269	Original	2014	24.76
898629	New	2014	11.32
2145233	Original	2014	30.59
3462461	New	2016	33.69
1938797	Original	2014	15.46
2077847	New	2013	8.84
908194	Original	2014	0
1766760	New	2014	43.23
1499007	New	2013	21.77
538711	Original	2013	12.19
626652	Original	2013	0
622943	Original	2013	13.04
544762	Original	2013	30.49
861284	New	2013	18.79
1891368	Original	2014	7.29
2105773	Original	2014	19.83
1451624	Original	2014	31.4
685291	Original	2013	15.93
909096	New	2014	5.29
544304	Original	2013	16.39
685278	Original	2013	13.25
919459	New	2014	35.76
2167214	Original	2013	19.34
2098884	New	2015	0.00
858238	Original	2013	88.29
1867406	Original	2014	4.78
902263	Original	2014	18.04
1517368	Original	2014	33.99
3829346	New	2016	32.90
1692405	Original	2014	26.08
878081	Original	2014	146.55
862200	New	2014	34.39
1556512	Original	2013	28.49
895174	New	2014	36.53
904066	Original	2014	49.83
635553	New	2013	64.00
868599	New	2015	32.98
545662	Original	2013	34.73
908972	New	2014	22.33
2095461	New	2014	45.57
1936399	New	2014	38.59
545792	Original	2013	7.59
2225605	Original	2013	22.89
1918191	Original	2013	20.1
1696732	New	2014	30.48
1718598	New	2013	0.00
2006983	Original	2014	5.96
861543	Original	2014	23.8
646949	New	2013	25.65
3809963	New	2013	21.31
1978940	Original	2013	23.96
686576	New	2013	9.61
2105404	Original	2014	4
539502	New	2013	45.94
776990	Original	2013	19.03
1483818	New	2014	16.96
1517136	New	2014	0.00
905198	New	2013	5.21
867407	New	2014	28.26
865597	Original	2013	28.46
543528	New	2013	34.28
892638	New	2013	15.94
2238290	New	2013	21.09
612366	Original	2014	44.9
904109	New	2014	46.74
905125	Original	2014	7.12
649450	New	2013	32.39
2079556	Original	2013	47.79
868270	Original	2014	6.26
1992289	New	2014	48.38
612583	New	2013	0.00
1932609	New	2013	6.58
862152	New	2014	8.04
2100938	Original	2014	5.68
1822339	New	2013	52.28
716253	New	2013	183.67
2129457	Original	2014	33.35
2165430	Original	2013	18.87
2105506	Original	2014	30.3
1982655	New	2014	20.05
610606	New	2014	41.20
1498473	Original	2013	17.41
1535828	Original	2015	52.6
864974	Original	2013	30.68
867252	Original	2014	31.99
3461061	New	2016	27.42
663581	New	2014	51.51
1938911	Original	2014	32.2
2066096	Original	2013	6.82
