State	Numcol	Yieldpercol	Year
NJ	12000	27	2004
OR	42000	51	2003
ME	10000	26	1998
TN	7000	44	2011
UT	26000	38	2009
NY	53000	57	2007
PA	26000	57	2001
NE	41000	59	2011
LA	30000	90	2006
AZ	32000	55	2004
TN	7000	61	2008
AL	14000	73	2001
IA	33000	70	2002
NC	10000	54	2005
NM	15000	64	2000
TX	77000	64	2008
PA	28000	60	1999
AL	9000	50	2011
NC	13000	46	2010
MT	130000	67	2005
IL	9000	66	1999
OR	50000	43	2008
TN	8000	59	2001
MS	15000	92	2007
OR	60000	32	2012
TN	6000	54	2004
CO	36000	75	2006
WY	43000	80	2007
CA	380000	52	2006
NY	50000	70	2008
KS	13000	67	1999
VA	8000	37	2005
ME	5000	41	2010
NE	43000	75	2002
MT	145000	52	2012
CA	4.00E+05	75	2005
NE	45000	74	2003
KY	5000	51	2012
NY	53000	70	2001
MI	72000	64	2007
OR	46000	48	2006
AZ	23000	53	2011
NE	58000	77	1999
IL	10000	66	2006
ID	92000	41	2007
IL	8000	61	2000
ND	340000	87	2003
OH	18000	60	2012
ID	97000	27	2010
NY	67000	72	2003
WY	38000	77	2001
HI	8000	87	2001
HI	7000	114	2003
UT	26000	45	1999
WV	6000	55	1998
ID	1.00E+05	46	2003
NE	36000	67	2008
ND	320000	75	2002
UT	24000	41	2000
ID	1.00E+05	57	2002
KY	4000	78	2001
LA	36000	80	2010
VT	7000	59	2000
PA	30000	37	2010
AR	53000	65	1998
FL	193000	64	2012
MI	72000	77	2002
MO	15000	46	2006
LA	43000	94	2000
TN	7000	64	1998
PA	28000	40	2006
HI	9000	74	2011
KS	16000	50	2005
IA	32000	59	2003
NC	14000	62	2011
VT	6000	64	1998
NC	11000	45	2009
WV	9000	51	2002
AZ	20000	52	2009
WV	9000	55	2004
MS	21000	69	2003
LA	35000	124	2002
TN	7000	51	2009
WY	39000	85	2006
NY	49000	56	2011
GA	75000	56	1998
NJ	11000	41	2011
ND	480000	69	2012
KY	4000	39	2008
MO	18000	50	2002
UT	30000	58	1998
NE	43000	48	2001
KS	17000	52	2002
AR	32000	76	2006
NE	47000	73	2006
NE	41000	55	2010
OR	59000	39	2010
IN	10000	81	1999
MD	2000	42	2003
OH	20000	74	1999
MO	23000	75	2000
IL	7000	50	2011
MD	6000	46	1999
LA	29000	89	2007
SD	215000	70	2003
AL	16000	71	1998
MT	134000	63	2002
MS	17000	66	2001
SD	224000	104	1999
TN	9000	61	2000
NE	51000	89	2004
VA	4000	41	2012
MN	117000	73	2002
WA	71000	37	2010
TX	116000	76	2004
MO	17000	53	2003
KS	16000	57	2003
FL	230000	98	1998
ME	11000	41	2002
MN	125000	80	2006
WV	4000	53	2011
ND	280000	96	2001
OR	60000	34	2011
AZ	38000	63	2002
OR	44000	44	2001
ND	350000	74	2006
NV	9000	45	1999
WA	58000	51	1998
WI	64000	93	2006
TX	89000	63	2009
FL	2.00E+05	69	2010
CO	34000	56	2010
MO	23000	66	1998
KY	3000	50	1999
HI	9000	131	2005
NJ	11000	34	2001
MO	11000	53	2008
NM	8000	44	2004
CO	27000	72	1998
IL	9000	71	1998
VT	6000	56	2006
FL	170000	68	2009
NY	51000	51	2012
SD	235000	65	2001
VT	7000	81	2001
TX	1.00E+05	72	2010
ME	7000	42	2008
GA	65000	71	2008
AZ	22000	46	2012
WV	7000	65	2001
NM	7000	66	2010
WV	5000	37	2009
NV	9000	37	2006
GA	55000	57	2000
ND	510000	91	2010
FL	160000	71	2007
KS	10000	61	2008
AR	50000	98	2001
NY	58000	80	2000
KS	9000	63	2009
LA	37000	103	2009
OH	18000	65	2000
VT	5000	66	2008
PA	25000	42	2007
HI	10000	75	2012
TN	8000	61	2002
HI	10000	90	2008
MD	3000	46	2002
OK	4000	51	1998
NM	5000	52	2012
OH	15000	69	2005
AZ	24000	77	2010
LA	41000	111	1998
NM	11000	44	2002
IN	10000	43	2010
CA	480000	67	2003
OK	4000	47	2001
UT	28000	48	2008
GA	63000	49	2004
NE	43000	65	2012
GA	52000	65	2003
WI	84000	90	2000
OH	18000	62	2010
HI	8000	96	2004
VA	7000	38	2004
MT	122000	70	1999
AZ	55000	60	1998
MN	130000	68	2007
ND	370000	91	2005
AL	11000	72	2006
MN	125000	67	2012
CO	27000	45	2008
ME	4000	30	2011
MN	140000	79	1998
CA	330000	35	2012
MI	65000	68	2005
IA	30000	67	2000
ME	14000	22	1999
HI	10000	93	2006
PA	23000	48	2008
AL	9000	66	2008
WY	39000	81	2003
NV	6000	64	2003
UT	24000	45	2005
CA	450000	83	1998
MT	136000	102	2001
NE	64000	70	1998
LA	40000	77	2008
MT	145000	92	2011
GA	59000	49	2005
VT	6000	66	1999
SD	225000	95	1998
ND	450000	77	2009
AR	36000	69	2005
MN	122000	78	2008
KY	5000	50	2005
NY	69000	70	1999
CO	31000	51	2007
MN	145000	82	1999
IA	24000	62	2008
TX	105000	79	2000
VA	8000	42	2006
MI	66000	60	2009
KS	6000	55	2012
MT	124000	88	2000
TX	92000	52	2012
OH	14000	56	2006
MT	115000	122	1998
NM	7000	60	2009
OK	6000	45	1999
HI	8000	80	1999
MN	135000	81	2001
MI	80000	85	1998
PA	28000	56	2005
SC	4000	70	2003
TX	91000	77	1998
IN	9000	92	1998
GA	65000	43	2011
WI	64000	83	2005
LA	36000	77	2011
CA	340000	40	2007
NM	7000	56	2011
NM	7000	48	2006
UT	22000	59	2002
MO	22000	61	2001
IN	8000	59	2012
AR	25000	63	2012
VT	4000	43	2011
KS	9000	52	2010
NM	15000	52	1999
NJ	11000	32	2009
OR	45000	57	1999
WA	49000	44	2008
AZ	25000	64	2008
AL	12000	86	2002
NC	13000	39	2012
PA	30000	54	2004
TX	82000	70	2006
MT	146000	70	2009
TX	108000	81	1999
OH	18000	70	2002
WI	64000	64	2010
IA	37000	61	2012
MO	16000	41	2004
ID	120000	48	1999
CO	24000	60	2002
SD	255000	52	2007
ID	90000	40	2008
OR	39000	42	2005
NV	9000	50	2001
CA	370000	48	2011
UT	24000	70	2004
NC	9000	40	2004
NV	12000	46	2005
ID	1.00E+05	47	2000
IL	8000	85	2005
WV	6000	43	2008
VT	5000	64	2007
WY	39000	61	2008
TX	140000	67	2003
CO	28000	70	2005
MN	128000	66	2010
KS	15000	68	2000
AL	13000	82	2003
GA	59000	51	2012
HI	10000	92	2007
KS	13000	51	2001
TN	7000	65	2007
KY	5000	56	2004
NV	10000	28	2007
IN	7000	67	2008
IN	5000	56	2003
MS	16000	80	2005
ID	1.00E+05	46	2001
NC	10000	44	2003
NC	11000	49	2000
TN	6000	61	2012
OH	18000	78	1998
VA	6000	37	2003
MS	18000	115	2011
MS	18000	118	2012
MT	134000	70	2008
AR	40000	75	2003
OH	14000	53	2008
MI	65000	74	2003
OK	7000	35	2000
AL	9000	50	2009
MS	18000	73	1999
TX	97000	79	2001
ND	3.00E+05	115	2000
NJ	11000	35	2000
FL	228000	102	1999
OR	43000	49	2002
MO	8000	43	2011
SD	250000	66	2011
MO	14000	46	2007
AL	11000	56	2007
PA	24000	44	2011
MN	150000	90	2000
IL	6000	76	2001
WY	39000	93	2000
IA	33000	51	2001
WY	50000	51	2012
WY	40000	56	2005
KY	4000	61	2007
AR	40000	57	2004
MO	24000	65	1999
MS	18000	65	2004
UT	23000	39	2011
HI	10000	77	2010
VT	6000	68	2004
GA	50000	52	2002
VA	7000	35	1999
LA	41000	86	2012
WI	57000	63	2011
IA	26000	84	2006
NC	10000	50	2006
WA	52000	50	1999
SD	270000	66	2009
NM	6000	48	2008
NJ	9000	36	2006
VA	7000	42	2000
WA	50000	51	2002
CA	390000	45	2004
IN	7000	76	2001
IN	8000	51	2011
NC	16000	42	2002
NM	7000	49	2005
SC	5000	94	2002
FL	210000	71	2003
IL	7000	60	2003
AL	13000	66	2005
NE	50000	87	2000
CO	28000	53	2009
OH	18000	81	2001
IN	7000	59	2004
NJ	11000	40	2002
MT	145000	66	2003
WA	51000	55	2005
WY	46000	60	1998
IA	27000	49	2010
WV	6000	48	2012
HI	7000	112	2000
NV	14000	55	2004
NY	60000	98	2002
NC	9000	46	1999
VA	9000	52	2001
FL	170000	81	2006
LA	45000	106	2001
ND	255000	105	1999
GA	55000	57	2001
VT	7000	83	2003
TX	114000	67	2002
WV	6000	42	2006
KY	3000	50	1998
TN	8000	51	1999
KY	4000	48	2000
ME	8000	33	2003
SC	7000	40	2001
CO	27000	76	1999
NC	12000	45	2007
NV	10000	46	1998
MI	65000	67	2004
SD	225000	95	2008
NM	10000	70	2001
WI	74000	77	2003
SD	215000	105	2004
VT	7000	89	2002
NM	6000	59	2007
VA	6000	46	2007
PA	27000	50	2003
KS	14000	80	2004
CO	25000	48	2012
IA	25000	62	2011
MS	18000	78	2002
FL	150000	79	2008
MI	71000	73	2008
NJ	10000	44	1999
MT	135000	68	2007
MI	73000	85	1999
AR	28000	80	2007
MI	72000	75	2000
AR	24000	57	2009
NE	45000	49	2007
CA	440000	70	2000
MO	15000	50	2005
NV	10000	29	2008
HI	7000	136	2002
CA	470000	50	2002
IL	7000	61	2012
OK	3000	53	2002
KS	14000	40	2007
WY	37000	48	2009
AR	45000	88	2002
LA	34000	90	2003
GA	55000	46	2010
NJ	12000	32	2005
VA	6000	42	2008
IA	26000	42	2009
CA	465000	60	1999
MT	157000	74	2010
TN	6000	40	2003
TN	8000	63	2010
PA	25000	45	2000
KY	5000	48	2003
MI	76000	60	2001
HI	8000	118	1998
FL	160000	86	2005
SD	225000	51	2002
TN	7000	55	2006
IL	9000	80	2002
NJ	13000	35	2010
AR	28000	75	2008
WV	8000	51	2005
IN	8000	65	2000
